Airlines,Flight Date,COVID Phase,Departure delay (Minutes),Delay Carrier (Minutes)_Dep,Delay Weather (Minutes)_Dep,Delay National Aviation System (Minutes)_Dep,Delay Security (Minutes)_Dep,Delay Late Aircraft Arrival (Minutes)_Dep,Total Flights_Dep,Cancelled Flights,Cancellation Rate (%),Arrival Delay (Minutes),Delay Carrier (Minutes)_Arr,Delay Weather (Minutes)_Arr,Delay National Aviation System (Minutes)_Arr,Delay Security (Minutes)_Arr,Delay Late Aircraft Arrival (Minutes)_Arr,Total Flights_Arr
Alaska Airlines,2018-02-28,Pre-COVID,-8.0,0,0,0,0,0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-01,Pre-COVID,-6.0,0,0,0,0,0,1,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-02,Pre-COVID,-4.0,0,0,0,0,0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-03,Pre-COVID,-8.0,0,0,0,0,0,1,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-04,Pre-COVID,-8.0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-05,Pre-COVID,-9.0,0,0,0,0,0,1,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-06,Pre-COVID,-13.0,0,0,0,0,0,1,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-07,Pre-COVID,-4.0,0,0,0,0,0,1,0.0,0.0,-28.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-08,Pre-COVID,-4.0,0,0,0,0,0,1,0.0,0.0,-28.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-09,Pre-COVID,-8.0,0,0,0,0,0,1,0.0,0.0,-33.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-10,Pre-COVID,-3.0,0,0,0,0,0,1,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-11,Pre-COVID,-6.0,0,0,0,0,0,1,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-12,Pre-COVID,-8.0,0,0,0,0,0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-13,Pre-COVID,-5.0,0,0,0,0,0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-14,Pre-COVID,-10.0,0,0,0,0,0,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-15,Pre-COVID,-5.0,0,0,0,0,0,1,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,1.0
Alaska Airlines,2018-03-16,Pre-COVID,28.0,0,0,0,0,0,1,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,1.0
Alaska Airlines,2018-03-17,Pre-COVID,-7.0,0,0,0,0,0,1,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-18,Pre-COVID,20.0,0,0,0,0,0,1,0.0,0.0,48.0,41.0,0.0,7.0,0.0,0.0,1.0
Alaska Airlines,2018-03-19,Pre-COVID,-4.0,0,0,21,0,0,1,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,1.0
Alaska Airlines,2018-03-20,Pre-COVID,-8.0,0,0,0,0,0,1,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-21,Pre-COVID,-8.0,0,0,0,0,0,1,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-22,Pre-COVID,-3.0,0,0,0,0,0,1,0.0,0.0,-22.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-03-23,Pre-COVID,-4.0,0,0,0,0,0,1,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0
