Origin City,Airlines,COVID Phase,Avg Arrival Delay (min),Total Flights
"Orlando, FL",Spirit Airlines,Pre-COVID,-0.5853658536585366,82
"Panama City, FL",Southwest Airlines,During-COVID,0.12156663275686673,1966
"Panama City, FL",Southwest Airlines,Post-COVID,0.8066184074457083,2901
"Panama City, FL",Southwest Airlines,Pre-COVID,1.7357673267326732,1616
"Pensacola, FL",Southwest Airlines,During-COVID,-2.3252762430939224,1448
"Pensacola, FL",Southwest Airlines,Post-COVID,-0.9489326077856843,2389
"Pensacola, FL",Southwest Airlines,Pre-COVID,-0.06844626967830253,1461
"Philadelphia, PA",American Airlines,During-COVID,-8.568058076225045,551
"Philadelphia, PA",American Airlines,Post-COVID,12.071808510638299,2256
"Philadelphia, PA",American Airlines,Pre-COVID,3.05359394703657,1586
"Philadelphia, PA",Frontier Airlines,During-COVID,1.2722772277227723,202
"Philadelphia, PA",Frontier Airlines,Post-COVID,7.416819012797075,547
"Philadelphia, PA",Frontier Airlines,Pre-COVID,4.601286173633441,311
"Philadelphia, PA",Southwest Airlines,During-COVID,-7.214703968770332,1537
"Philadelphia, PA",Southwest Airlines,Post-COVID,1.0829675153643548,2278
"Philadelphia, PA",Southwest Airlines,Pre-COVID,1.9854682454251884,1858
"Philadelphia, PA",Spirit Airlines,Post-COVID,1.6948571428571428,875
"Phoenix, AZ",American Airlines,During-COVID,-11.37203166226913,379
"Phoenix, AZ",American Airlines,Post-COVID,10.357876712328768,1168
"Phoenix, AZ",Frontier Airlines,Post-COVID,-8.573770491803279,183
"Phoenix, AZ",Southwest Airlines,During-COVID,3.727131782945736,2580
"Phoenix, AZ",Southwest Airlines,Post-COVID,4.520223752151463,4648
"Phoenix, AZ",Southwest Airlines,Pre-COVID,3.3681679055531264,2287
"Pittsburgh, PA",Southwest Airlines,During-COVID,-3.9190751445086707,1211
"Pittsburgh, PA",Southwest Airlines,Post-COVID,-0.9254658385093167,2254
"Pittsburgh, PA",Southwest Airlines,Pre-COVID,-1.2945859872611465,1256
"Portland, ME",Southwest Airlines,Post-COVID,-0.1,120
"Portland, OR",Alaska Airlines,Post-COVID,-3.3904109589041096,292
"Raleigh-Durham, NC",American Airlines,During-COVID,5.992307692307692,130
"Raleigh-Durham, NC",Delta Airlines,Pre-COVID,-18.0,1
"Raleigh-Durham, NC",Southwest Airlines,During-COVID,-3.533290653008963,1562
"Raleigh-Durham, NC",Southwest Airlines,Post-COVID,0.7012858555885262,3033
"Raleigh-Durham, NC",Southwest Airlines,Pre-COVID,1.0461819844535893,2187
"Richmond, VA",Southwest Airlines,Post-COVID,-3.1619047619047618,210
"Sacramento, CA",Southwest Airlines,Post-COVID,3.90188679245283,265
"Sacramento, CA",Southwest Airlines,Pre-COVID,1.2333333333333334,30
"Salt Lake City, UT",Delta Airlines,During-COVID,1.416184971098266,1038
"Salt Lake City, UT",Delta Airlines,Post-COVID,0.5457777777777778,2250
"Salt Lake City, UT",Delta Airlines,Pre-COVID,-2.4078478002378123,841
"Salt Lake City, UT",Southwest Airlines,During-COVID,2.365979381443299,194
"Salt Lake City, UT",Southwest Airlines,Post-COVID,3.7557603686635943,217
"San Antonio, TX",Southwest Airlines,During-COVID,-0.20195439739413681,1228
"San Antonio, TX",Southwest Airlines,Post-COVID,0.47513812154696133,2172
"San Antonio, TX",Southwest Airlines,Pre-COVID,-0.26859205776173284,1385
"San Diego, CA",Southwest Airlines,During-COVID,-1.1073446327683616,885
"San Diego, CA",Southwest Airlines,Post-COVID,6.046138415245737,1994
"San Diego, CA",Southwest Airlines,Pre-COVID,2.040247678018576,1292
"San Francisco, CA",Alaska Airlines,Pre-COVID,10.35344827586207,580
"San Francisco, CA",United Airlines,During-COVID,-3.006622516556291,302
"San Francisco, CA",United Airlines,Post-COVID,4.00554528650647,1623
"San Francisco, CA",United Airlines,Pre-COVID,5.066615620214395,1306
"San Jose, CA",Southwest Airlines,During-COVID,1.6780487804878048,410
"San Jose, CA",Southwest Airlines,Post-COVID,2.083606557377049,610
"San Jose, CA",Southwest Airlines,Pre-COVID,2.022222222222222,180
"San Juan, PR",Southwest Airlines,During-COVID,3.606060606060606,33
"San Juan, PR",Southwest Airlines,Post-COVID,15.878787878787879,132
"Santa Ana, CA",Southwest Airlines,During-COVID,7.832041343669251,387
"Santa Ana, CA",Southwest Airlines,Post-COVID,12.853515625,512
"Sarasota, FL",Southwest Airlines,During-COVID,-0.8901098901098901,637
"Sarasota, FL",Southwest Airlines,Post-COVID,2.4834801762114536,1816
"Savannah, GA",Southwest Airlines,During-COVID,11.849112426035504,338
"Savannah, GA",Southwest Airlines,Post-COVID,5.113345521023766,1641
"Seattle, WA",Alaska Airlines,During-COVID,-3.4316608996539792,1156
"Seattle, WA",Alaska Airlines,Post-COVID,3.9800081599347203,2451
