Destination City,Airlines,COVID Phase,Avg Departure Delay (min),Total Flights
"Denver, CO",Frontier Airlines,Post-COVID,10.409395973154362,1043
"Denver, CO",Frontier Airlines,Pre-COVID,8.0202492211838,642
"Denver, CO",Southwest Airlines,During-COVID,6.160325297705489,3443
"Denver, CO",Southwest Airlines,Post-COVID,11.41705863907181,6378
"Denver, CO",Southwest Airlines,Pre-COVID,9.031426953567385,3532
"Denver, CO",United Airlines,During-COVID,7.450155763239875,642
"Denver, CO",United Airlines,Post-COVID,10.433009708737863,3090
"Denver, CO",United Airlines,Pre-COVID,8.971223021582734,278
"Detroit, MI",Delta Airlines,During-COVID,0.08918503331624808,1951
"Detroit, MI",Delta Airlines,Post-COVID,3.9868322981366457,4025
"Detroit, MI",Delta Airlines,Pre-COVID,4.123045146060785,3389
"Detroit, MI",Southwest Airlines,During-COVID,8.129939718687208,1493
"Detroit, MI",Southwest Airlines,Post-COVID,13.739935215178159,2161
"Detroit, MI",Southwest Airlines,Pre-COVID,10.723432343234323,1515
"Detroit, MI",Spirit Airlines,Post-COVID,14.61437908496732,153
"Fort Lauderdale, FL",JetBlue Airways,During-COVID,3.0223214285714284,448
"Fort Lauderdale, FL",JetBlue Airways,Post-COVID,29.07840440165062,727
"Fort Lauderdale, FL",JetBlue Airways,Pre-COVID,29.933673469387756,784
"Fort Lauderdale, FL",Southwest Airlines,During-COVID,5.9823157894736845,2375
"Fort Lauderdale, FL",Southwest Airlines,Post-COVID,13.35933467163751,3487
"Fort Lauderdale, FL",Southwest Airlines,Pre-COVID,9.121223564954683,2648
"Fort Lauderdale, FL",Spirit Airlines,During-COVID,13.648829431438127,598
"Fort Lauderdale, FL",Spirit Airlines,Post-COVID,16.320052253429132,1531
"Fort Lauderdale, FL",Spirit Airlines,Pre-COVID,-1.8795180722891567,83
"Fort Myers, FL",Frontier Airlines,Pre-COVID,10.732394366197184,142
"Fort Myers, FL",Southwest Airlines,During-COVID,7.763940520446097,538
"Fort Myers, FL",Southwest Airlines,Post-COVID,15.393805309734514,1356
"Fort Myers, FL",Southwest Airlines,Pre-COVID,9.020408163265307,147
"Fort Myers, FL",Spirit Airlines,Post-COVID,11.941176470588236,102
"Grand Rapids, MI",Southwest Airlines,Post-COVID,3.7586206896551726,29
"Greenville, SC",Southwest Airlines,Post-COVID,9.867298578199053,211
"Hartford, CT",Southwest Airlines,During-COVID,11.317518248175183,274
"Hartford, CT",Southwest Airlines,Post-COVID,9.19672131147541,1098
"Hayden, CO",Southwest Airlines,Post-COVID,2.2285714285714286,35
"Houston, TX",Southwest Airlines,During-COVID,7.143958076448828,3244
"Houston, TX",Southwest Airlines,Post-COVID,10.045584045584045,7371
"Houston, TX",Southwest Airlines,Pre-COVID,7.833508956796628,2847
"Houston, TX",Spirit Airlines,Post-COVID,0.0,1
"Houston, TX",United Airlines,During-COVID,10.142523364485982,428
"Houston, TX",United Airlines,Post-COVID,10.787620889748549,2585
"Houston, TX",United Airlines,Pre-COVID,9.157937806873978,1222
"Jacksonville, FL",Southwest Airlines,During-COVID,6.812754409769335,1474
"Jacksonville, FL",Southwest Airlines,Post-COVID,10.397745571658616,2484
"Jacksonville, FL",Southwest Airlines,Pre-COVID,9.44178952719878,1967
"Kansas City, MO",Southwest Airlines,During-COVID,7.441129461907299,1877
"Kansas City, MO",Southwest Airlines,Post-COVID,10.311623831775702,3424
"Kansas City, MO",Southwest Airlines,Pre-COVID,9.031120331950207,2410
"Key West, FL",Delta Airlines,Post-COVID,-1.6666666666666667,3
"Las Vegas, NV",Delta Airlines,Pre-COVID,-3.6666666666666665,3
"Las Vegas, NV",Frontier Airlines,During-COVID,10.261603375527427,237
"Las Vegas, NV",Frontier Airlines,Post-COVID,23.032894736842106,456
"Las Vegas, NV",Frontier Airlines,Pre-COVID,16.1925,400
"Las Vegas, NV",Southwest Airlines,During-COVID,6.830240174672489,1832
"Las Vegas, NV",Southwest Airlines,Post-COVID,14.032217467908382,3973
"Las Vegas, NV",Southwest Airlines,Pre-COVID,7.547761882787263,2167
"Las Vegas, NV",Spirit Airlines,During-COVID,12.249457700650758,461
"Las Vegas, NV",Spirit Airlines,Post-COVID,18.098360655737704,1098
"Las Vegas, NV",Spirit Airlines,Pre-COVID,13.317073170731707,82
"Long Beach, CA",Southwest Airlines,Post-COVID,12.122784810126582,790
"Long Island, NY",Southwest Airlines,During-COVID,11.52803738317757,214
"Long Island, NY",Southwest Airlines,Post-COVID,5.758241758241758,455
"Los Angeles, CA",American Airlines,During-COVID,9.743954480796585,703
"Los Angeles, CA",American Airlines,Post-COVID,18.9375,1088
"Los Angeles, CA",American Airlines,Pre-COVID,11.19442644199611,1543
"Los Angeles, CA",Delta Airlines,During-COVID,2.378490175801448,967
"Los Angeles, CA",Delta Airlines,Post-COVID,6.871805613741097,2387
"Los Angeles, CA",Delta Airlines,Pre-COVID,3.1555959963603275,1099
"Los Angeles, CA",Southwest Airlines,During-COVID,8.303741746148203,1363
"Los Angeles, CA",Southwest Airlines,Post-COVID,14.281750266808965,1874
